Entries,Class,,,,,,,,,,,,,,,,,,,,
bi canta gozume kestirdim 950 liraydi dedim 9-10-11 kasim indirimini bekliyim 9 kasimda canta 1250 lira oldu %25 sepette indirim firsatiyla ne sacmalik la dedim kapadim 10 kasimda gene ayni fiyattan satistaydi 11 kasimda control ettigimde fiyat 1004 tl ye dusmus %25 sepet indirimide durmaktaydi 750 liraya geldi ayni canta beymen online %30 indirimine ragmen 1300 lira simdi oldu trendyol aferim ,5,,,,,,,,,,,,,,,,,,,,
elektronikte an itibari ile sov yapiyorlar n11in gününü domine ettiler ,5,,,,,,,,,,,,,,,,,,,,
indirim günleriinden aldigim 6 adet ayakkabim bugun elime ulasti kiz kardesime kendime ve erkek kardesime aldigim 6 cift ayakkabi ortalama 1200 tl üzeri tutacakken burdan 675 tl ye aldik hepsi muazzam güzeller ayakkabi icin kesnlikle trendyol ,5,,,,,,,,,,,,,,,,,,,,
an itibariyle bu uygulamanin black friday indirimleri sayesinde sahsima iki adet tommy hilfiger kazagi 217 liraya kapma firsatini veren türkiyenin en popüler alisveris uygulamasidir ,5,,,,,,,,,,,,,,,,,,,,
gitti gidiyordan sonra alis veris için en çok kullandigim site kendime sevgilime ve kizlarima buradan çok sey aldim hiçbirinde de hayal kirikligi yasamadim bazen gerçekten ucuz kampanyalar oluyor örnek vereyim geçen yil 400 veya 500 tl civarinda dolasan hotiç marka bir ayakkabiyi 120 tlye aldim her seyi orijinal sadece iyi takip etmek gerekiyor sevgilim hanimefendi de çok memnun ,5,,,,,,,,,,,,,,,,,,,,
sürekli ayni markalari indirimde gösteren site eskiden bu ve bunun gibi sitelerde sürekli indirime giren markalar degisirdi ve indirimler gerçekten indirim olurdu yakinda indirimde olacak diye yeni markalarin reklamini yaparlardi ben trendyola ne zaman girsem hep ayni markalar var degisiklik neredeyse hiç yapmiyorlar yine de o markalardan ne aldiysam evden çikamadigim ve magaza gezemedigim dönemde kurtarici oldu ve ne iade etmek istediysem simdiye kadar hiç sorun yasamadim siparis hemen kargoya veriliyor ve iade edilen ürün ellerine ulasir ulasmaz iade gerçeklestiriliyor hatta bir diger güzelligi her ürünü sorunlu getiren hatta hiç getirmeyip getirdim ama evde yoktunuz diye yalan söyleyen yurtiçi kargo buradan verdiginiz siparisi tam zamaninda ve kusursuz getirir artik nasil bir anlasma yaptilarsa yurtiçi kargo bile düzgün çalisiyor helal ,5,,,,,,,,,,,,,,,,,,,,
favori alisveris sitem can sikintima birebir son günlerde yogunluktan dolayi beni zorlasa da sorun degil ,5,,,,,,,,,,,,,,,,,,,,
Bilgilendirmeleri yerinde ve yeterli iade süreçleri de kolay gönderilen ürünlerde problem olmuyor basarili ,4,,,,,,,,,,,,,,,,,,,,
Huggies bebek bezinin en ucuz oldugu site bu sebeple bircok arkadasim trendyoldan aliyor huggies bezlerini ben dahil ancak bu sefer girdim 4+ külot bezlerinden kalmamis hizli bir sekilde tedarik edebilirlerse bizi cok mutlu ederler ,4,,,,,,,,,,,,,,,,,,,,
kendi markalari olan trendyol man gerçekten çok basarili hem tarzi çok iyi hem de kaliteli ürünler yapiyorlar bundan böyle favorim kendileri ,4,,,,,,,,,,,,,,,,,,,,
trendyol gratis watsons benim için 3 beyazdan daha tehlikeli iligimi kemigimi sömürdünüz yeminle ,4,,,,,,,,,,,,,,,,,,,,
eve hurç lazim oldugu ve etrafta bulamadigim için kendisi araciligiyla hurç siparisi verdigim site daha ürün görsellerinden bile aliexpress mali olduklari belli fotolar aliexpress fotosu ne aldigimi biliyorum sürpriz yok kafam rahat ,4,,,,,,,,,,,,,,,,,,,,
iflas edecekse de benim yüzümdendir 3 veya 5 aydir pek ugramiyorum 1v1yye takiliyorum daha çok ne bileyim haksizlik olmasin biraz da onu kalkindirayim demistim ama iflasa kadar sürüklenecegini düsünemedim üzgünüm tamam telafi etmeye çalisacagim ah canim ,4,,,,,,,,,,,,,,,,,,,,
çinli dev alibaba tarafindan satin alinmistir ilgili haber ,4,,,,,,,,,,,,,,,,,,,,
amazonun türkiyeye gelmesinin beklendigi su zamanlarda alibaba da bos durmamis bünyesinde trendyolu bulunduran dsm grupu satin almistir yalniz bu babalar çok ters zamanda girdiler türkiye piyasasina milette para yok nasil alisveris yapacak millet aç aç ,4,,,,,,,,,,,,,,,,,,,,
rakam açiklanmamis ama yemeksepetinden daha yüksek bir fiyata alibabaya satildigi açiklandi tahminim milyar dolar sinirina yaklasmistir ,4,,,,,,,,,,,,,,,,,,,,
alibabanin 728 milyon dolarlik yatirim yaptigi internet sirketi 1 milyar dolarlik valuationa ulastigini söylemek yanlis olmaz sanirim ,4,,,,,,,,,,,,,,,,,,,,
millasi ile gardiroplara renk katan e-alisveris sitesi öyle güzel elbiseler ve topuklular var ki tam bir bütçe düsmani ,4,,,,,,,,,,,,,,,,,,,,
degeri ile sasirtan baslarda kiyafet satsa da simdi pek çok ürün satmaya baslayan alisveris sitesi yine giyim agirlikli ama kitaptan dekorasyon ürününe satiyorlar zamaninda markafoni vardi bir ara kapandi sonra yeniden açildi falan ne markalar yaratildi parlatildi satildi 1 milyar dolar degerden bahsediliyor bu konulara uzak olan bizler de akil erdirmeye çalisiyoruz ,4,,,,,,,,,,,,,,,,,,,,
bir gazla piyasanin 80 lira altinda sattiklari issey miyake leau dissey pour homme parfumu buradan aldim henuz gelmedi yillardir kullandigim parfumumdur sahte cikarsa ve iade almazlarsa tuketici mahkemesinde gorusuruz edit parfum orjinal gonul rahatligiyla alabilirsiniz ,4,,,,,,,,,,,,,,,,,,,,
alibabaya satildiktan sonra ürün çesitliligiyle birlikte reklamlari da artan alisveris sitesi ,4,,,,,,,,,,,,,,,,,,,,
kredi kartina vade farklari can sikan alisveris sitesidir bir de ücretsiz kargo olayini bir türlü yapmiyorlar anca elit olursaniz ücretsiz kargo var bunun disinda pek bir yanlisini görmedim sahsen ,4,,,,,,,,,,,,,,,,,,,,
binbir hevesle aldigim trenyol markasina ait spor elbise kullanim talimatlarina göre yikamama ragmen çekmis afedersiniz düdük gibi olmus askiya asip bir ümitle kuruyunca kendini birakir mi acaba diye bekliyorum olabilir mi öyle bir sey aah ah yaktin beni trendyol yani pahali bir elbise degildi ama çok begenerek almistim  edit elbise bir çekmis bir çekmek öyle böyle bir çekmek üzerine ince bir bez örtüp onun üzerinden ütüledim ama yine de yer yer parlamis trendyol baska markalardan alisveris için uygun olabilir ama kendi markasi sakin diyorum edit 2 elbiseyi kargoyla iade ettim gerekçemi kabul etmisler ödeme yapacaklarmis hizli dönüs yapmalari giysen giyilmez elbisenin gözümün önünden gitmesi hos oldu ama yine de bi daha ne biliyim elbise modelleri çok güzel ama su kumas kalitesini biraz iyilestirseler ,4,,,,,,,,,,,,,,,,,,,,
dolarin artisi en çok bu siteyi vurmustur indirim adi altinda tüm ürünlere yakininda %5lik %10luk indirimler var hem de yaz sezonu ürünlerde ,4,,,,,,,,,,,,,,,,,,,,
fiyati çok iyi diye moda sitesinden televizyon aldim umarim televizyon yerine ayakkabi falan yollamazlar gergin bekleyis sürüyor edit sevkiyat gerçeklesti bir sikinti yok ,4,,,,,,,,,,,,,,,,,,,,
diger online alisveris sitelerine göre arayüzünü sevdigim site ilk açildigindan beri hasir nesiriz kendi markasinin tekstil ürünlerinin bir çogunun tasarimini ve kalitesini seviyorum çogu bilinen markayla kalitesi es deger bazi ürünlerinin elite ayricaligiyla kargo bedava olayi da alisveris manyakligini pekistiriyor iyi mi kötü mü bilemedim ,4,,,,,,,,,,,,,,,,,,,,
alisverislerimde ve iadelerimde sorun yasamadigim en çok tercih ettigim online alisveris sitesi kendi markalarinin kalip ve kalitesi iyi yalniz parfüm ve spor ayakkabilar hakkinda sahte olduguna dair bir çok sikayet okudugumdan bu ürünlerde tercih etmiyorum ,4,,,,,,,,,,,,,,,,,,,,
eskiye göre her seyi daha pahali gibi sepeti kiyasiya doldurdugum günler bitti yani hey gidi hey yillardir kullaniyorum su güne kadar önemli bir sorun yasamadim sadece gönderdikleri bir ayakkabi defolu çikmisti iade ettim yenisini aldim çok karnim agrimadi ,4,,,,,,,,,,,,,,,,,,,,
su an deli gibi indirim var ama 35 numara ayakkabi bulmak zor diger yandan bulsam da alamayacagim için iç geçirmeme gerek olmuyor tesekkürler trendyol tesekkürler issizlik ,4,,,,,,,,,,,,,,,,,,,,
indirimde sattiklari marka ürünler outlet mi bilmiyorum bir yakinim o sekilde bir bilgi verdi ancak 1 seneye yakin bir süre önce buradan satin aldigim nike airmaxin tabanindaki hava kisminda ufak bir delik olusup havasi kaçti son 1 aydir öyle duruyordu telefon açip durumu belirttim ve iade kodu verdiler incelemeye aldilar ben iyi de beyefendi kullanmissiniz sonra da delinince niye sikâyet ediyorsunuz derler diye beklerken adamlar bayagi iade islemini gerçeklestirdiler yalniz yine buradan aylar önce satin aldigim bembeyaz nike kosu ayakkabisini bir numara büyük satin aldim diye sol tekinin ucunda hafif bir leke vardi o zaman degistirmemis olduguma yanarim bu da böyle bir ayrinti olarak burada kalsin valla sergiledikleri tutum beni çok memnun etti neyse simdi iadesi gerçeklesen ayakkabiyla ayni tutarlarda 200 veya 250 civari nike airmax bakinmam gerekecek tavsiyelere açigim beyaz renkten sasmam ,4,,,,,,,,,,,,,,,,,,,,
bu ara sürekli heryerde reklamlari dönen websitesidir nereden geliyor bu degirmenin suyu bilin bakalim tabii ki alibaba.comdan alibaba türkiyeye direkt girme yerine ebayin gittigidiyorda yaptigi gibi gitmis bu siteye yatirim yapmis ve yine olur da tutturursa 1 seneye kalmaz trendyolu oldugu gibi satin alir demedi demeyin ,4,,,,,,,,,,,,,,,,,,,,
9-10-11 kampanyasina dayanamamis site resmen patladi hiçbir islem yapilamiyor mobil tamamen iptal ,4,,,,,,,,,,,,,,,,,,,,
alternatifini merak ettigim sitedir burada ucuz degil pahali bindiriyor indiriyor vs diyen arkadaslar bir adet alternatif sunarlarsa söz veriyorum oradan alisveris yapacagim o zamana kadar en azindan güvenilir oldugu için ben trendyolu tercih ediyorum ,4,,,,,,,,,,,,,,,,,,,,
savunucusu olmaya bayilmiyorum ama her seye bok atma huyunun da bokunu çikariyorsunuz daha önce begenip fiyati biraz pahali gelince almadigim bir ürünü ayni fiyat üzerinden %15 indirimle aldim bkz sezarin hakki sezara ,4,,,,,,,,,,,,,,,,,,,,
reebok ayakkabi trendyol man gomlek 25 lira %100 pamuk dandik bir marka da olsa denemeye deger mango man gomlek bu ucune 245 lira verdim uygun bence ,4,,,,,,,,,,,,,,,,,,,,
hakkindaki entrylere bakarsak bindirim yemeden indirimli olarak bir tek benim ürün satin alabildigim site 2 ay önce magazada baktigim mont 230 liraydi trendyolda da ayni fiyatti magazanin kendi sitesinde de bugün baktigimda ise hem trendyol hem de magazanin kendi sitesi es zamanli indirim yapmis %26 indirimle 170 tl etiket fiyati ve sepette de %22 indirimle 132 tlye geliyordu aksam saatlerinde siparis vermeye karar verdigimde magazanin sitesinin %22 indirimi geri çektigini gördüm dolayisiyla trendyoldan siparis verdim ,4,,,,,,,,,,,,,,,,,,,,
bazi butiklerinde gerçekten indirim olan site daha önce pahali bulup favorilere ekledigim trendyol milla ürünlerini bugün gayet inmis ve uygun fiyatlara alabildim mesela ,4,,,,,,,,,,,,,,,,,,,,
burada yakinanlarin çogu ölü alici bence bu nedir arkadas adamlar normalde 100tlye sattiklari ürünü de önceden indirimli satiyorlardi indirime girmeyen ürünleri de çogunluktaydi e simdi bu söylenen indirimde de normalde indirimde olan ürünün indirimini gerçek fiyatindan yapmislar yani önceden farkli indirimde satilirken simdi etiket fiyatindan farkli bir yüzdelik indirim uygulamislar önceki etiket fiyatindan daha üstte bir fiyat uygulamasi görmedim hiç indirime girmeyen ürünler direkt indirimde zaten kafa karistiran normalde de indirimde olan ürünlerin etiket fiyatina çekilerek indirim uygulanmasi bedavaya verseler keske de bu kadar tantana yapmasaniz ,4,,,,,,,,,,,,,,,,,,,,
bindirim indirim olayi her ürün için geçerli degildir sezon disi olan haziran ayindan beri takip ettigim çizmeyi yari fiyatina kaptim inciden yani gerçekten uyguna gelen ürünler de var ,4,,,,,,,,,,,,,,,,,,,,
her yerde elektronik reklamlariyla karsilasiyorum girip baktim gerçekten rakiplerinin altinda fiyatlar veriyorlar n11in rezaletinden sonra bugün baya elektronik alicisini kendilerine çekerler gibi ,4,,,,,,,,,,,,,,,,,,,,
çok severek kullandigim site fakat beni üzen bir konuya parmak basmak istiyorum belki çare bulurlar diyelim ki siteye bir girisinizde 4 ayri ürün satin aldiniz ve bunlarin hepsinin magazasi da farkli bu 4 ürün birbirinden bagimsiz olarak paketlenip yola çikiyor ve toplu verdiginiz siparisi taksit taksit teslim aliyorsunuz hafi bu da çok dert degil tas patlasa bi hafta içinde size ulasmis oluyor fakat beni en çok üzen hepsinin ayri ayri paketlenmis olup bosa kagit harcanmasi zaten siparis numarasi belli olan toplu siparisleri tek koli içinde tek seferde gelecek sekilde bi düzen oturtsalar o kadar kagida ve kartona yazik olmayacak ufacik bir halhal bile nispeten büyük bir kutuyla geliyor bu konuya bi el atsalar on numara olacak ,4,,,,,,,,,,,,,,,,,,,,
uzun yillardir alisveris yapiyorum fakat son 3 alisverisimdeki ürünlerin hepsi defolu olarak geldi umarim tesadüftür ve gerisi gelmez zira 1v1ynin de kapanmasiyla morhipo ve kendisinden baska dostum yok su anda ,4,,,,,,,,,,,,,,,,,,,,
indirimleriyle adindan söz ettiren site önümüzdeki 2 yila damgasini vuracaktir kendi markalarindaki kiyafetleri de oldukça tarzdir ve de ucuzdur ,4,,,,,,,,,,,,,,,,,,,,
an itibariyle inanilmaz indirimlerle dolu olan site kaç aydir bu günü bekliyordum bekledigime degdi keske biraz daha bekleseydim de daha da degseydi dün aksam özdilekte dolasirken 100 liraya görüp de dur ya trendyola indirim gelecek o zaman alirim dedim ama keske alsaymisim zira 1 gecede fiyati 100 liradan 195 liraya çikmis ama simdi imdadima indirim tanrisi olan trendyol yetisti ve olaya müdahale edip fiyati 110 liraya düsürdü tükenirse 195 liradan alamam diyerek hemen 20 tane aldim bu kisi sicacik geçirecegim tesekkürler trendyol ,4,,,,,,,,,,,,,,,,,,,,
bu çok ileri derecede bir indirim üst düzey bir indirim olarak nitelenmeli yani genel olarak diger indirimlere de bakiyorum epey üst düzey kaliyor yani biraz daha az indirim yapsa yine alacagiz bu kadar ileri asamada bir indirime gerek yok mesela her ay 239 tlye aldigim parfümümün 360 tl gstünden 299 tlye inmesi yetmezmis gibi bir de sepette %20 daha indirip 243 tlye getiriyorlar geçen hafta 100 tlye aldigim esyayi bana 145 tlye degil yine tam 100 tlye satiyorlar hem de enflasyona ragmen allahim ben bu kadar indirim ve iyiligi hakedecek ne yaptim çok üst düzey bir indirim 200-300 yil erken yapilmis bizim uygarlik olarak bu seviyeyi yakalamamiza çok var ben bu indirime layik olamamaktan korkuyorum yeterince alisveris yapamazsam diye huzursuzum ,4,,,,,,,,,,,,,,,,,,,,
aqua di polo saatlerden kendime aldigim sitedir bir tane de sansli bir arkadasa hediye etmeyi düsünüyorum ,4,,,,,,,,,,,,,,,,,,,,
alisveris yapacak olanlarin köpek gibi kapisinda bekledigin bildikleri için birkaç saatlik website erisim problemi yüzünden zarar etmezler tam tersine daha çok kâr elde ederler ,4,,,,,,,,,,,,,,,,,,,,
black friday ile kendime terlik kedime de mama aldigim sitedir isim vermeyecegim bir pet sitesinde n&d düsük tahilli balikli portakalli 10 kg kedi mamasi 423 tl iken ben 366 tl ye almis bulunuyorum ,4,,,,,,,,,,,,,,,,,,,,
iyi mi ettik kötü mü ettik bilemedim ama sateen marka kaz tüyü montu ne kadar kaz tüyü ise artik 106 liradan hüplettigim alisveris sitesi kendileri geçen hafta da 260 tlye can paresi bir skechersi kaldirinca yok lan göndermez bunlar demistim ama aslanlar gibi gönderdi adamlar bilemiyorum altan kafam çok karisik aslinda 2 haftadir adam gibi bir kaban arayisindayim söyle güzel bir indirim yakalarim belki dedim ama heyhat nerede görenler duyanlar lütfen yesillendirsin sevgili dostlar ,4,,,,,,,,,,,,,,,,,,,,
sepette %20 %10 gibi indirimleri oldukça iyidir daha bir hafta önce aldigim parfüm simdi 50 lira daha ucuz 50 lira da nerden baksan iyi para ,4,,,,,,,,,,,,,,,,,,,,
120 liraya güzelinden bir sisme mont aldigim site bira arastirinca aralara serpistirdiklerini anliyorsun ne bekliyorsunuz kampanya ayagina bütün ürünlerin fiyatini yari yariya gerçekten indireceklerini mi ,4,,,,,,,,,,,,,,,,,,,,
9-10-11 indiriminde 210 tl olan ayakkabiyi bugün 145 tl fiyat ile aldim takip ettigim için bana indirim makul geldi ancak her ürün için bunu gerçeklestirmiyorlar sanirim bu kez indirim dedikleri sey benim adima olumlu ,4,,,,,,,,,,,,,,,,,,,,
üzüldügüm tek sey ürünlerin tükeniyor olmasi bayagi bayagi indirime kanip alisveris yapan var büyük indirimle sattiklari ürünlerin tamami indirim yaptigini iddia etmeyen sitelerde daha ucuz ,4,,,,,,,,,,,,,,,,,,,,
sizi bilmem 3 adet hummel bebek zibinini 60tl ye nb bebek ayakkabisi 22 buçuk numara 60 tl ye aldim bence uygun ,4,,,,,,,,,,,,,,,,,,,,
